career_label,skills,interests,career_goal,projects_done,education_branch,year_of_study,cgpa,has_internship,weakness,preferred_work,open_to_masters,combined_text
Frontend Developer,"react, javascript, css, git, html",web animations,frontend engineer,landing page,Information Technology,3rd year,6.4,True,not confident in public speaking,mnc with good work life balance,True,react javascript css git html web animations frontend engineer landing page information technology internship not confident in public speaking
QA Engineer,"sql, python, performance testing, postman, bug reporting, ci/cd, api testing, git, sdlc, manual testing",bug hunting,test automation engineer,performance test report,Information Technology,final year,7.7,False,weak in statistics,research organization,True,sql python performance testing postman bug reporting ci/cd api testing git sdlc manual testing bug hunting test automation engineer performance test report information technology no internship weak in statistics
Full Stack Developer,"react, css, html, rest api, git, node.js, javascript",full stack development,full stack engineer,job portal,Computer Science,3rd year,6.0,False,weak in networking concepts,"product company, remote",False,react css html rest api git node.js javascript full stack development full stack engineer job portal computer science no internship weak in networking concepts
Cloud Engineer,"linux, azure, cloud security, python, networking, docker, git, cost optimization, kubernetes, aws, storage services",cloud architecture,cloud engineer,aws s3 file storage app,Electronics and Communication,final year,6.4,True,weak in mathematics,"product company, remote",True,linux azure cloud security python networking docker git cost optimization kubernetes aws storage services cloud architecture cloud engineer aws s3 file storage app electronics and communication internship weak in mathematics
QA Engineer,"sql, performance testing, bug reporting, automation testing, git, jmeter, test cases, sdlc",bug hunting,test automation engineer,bug tracking report,Information Technology,3rd year,8.7,True,need to work on time management,fintech startup,True,sql performance testing bug reporting automation testing git jmeter test cases sdlc bug hunting test automation engineer bug tracking report information technology internship need to work on time management
ML Engineer,"numpy, python, tensorflow, model deployment, machine learning, deep learning, kubernetes, pandas",mlops,ml engineer,image recognition model,Computer Science,4th year,6.2,False,need to work on time management,research organization,True,numpy python tensorflow model deployment machine learning deep learning kubernetes pandas mlops ml engineer image recognition model computer science no internship need to work on time management
Embedded Systems Engineer,"debugging, electronics, c++, matlab, communication protocols, arduino, c, microcontrollers, rtos, pcb design, raspberry pi",iot,embedded systems engineer,line following robot,Electrical Engineering,3rd year,8.8,True,lack of real-world project experience,startup environment,True,debugging electronics c++ matlab communication protocols arduino c microcontrollers rtos pcb design raspberry pi iot embedded systems engineer line following robot electrical engineering internship lack of real-world project experience
Backend Engineer,"data structures, microservices, sql, python, docker, rest api, git, databases, java",databases,backend developer,payment gateway integration,Software Engineering,2nd year,8.6,False,need to improve debugging skills,mnc with good work life balance,False,data structures microservices sql python docker rest api git databases java databases backend developer payment gateway integration software engineering no internship need to improve debugging skills
UI/UX Designer,"usability testing, figma, adobe xd, html css basics, typography, user research, color theory, wireframing, design thinking, prototyping",ui design,interaction designer,website wireframes,Design,1st year,7.1,True,weak in networking concepts,research organization,False,usability testing figma adobe xd html css basics typography user research color theory wireframing design thinking prototyping ui design interaction designer website wireframes design internship weak in networking concepts
QA Engineer,"sql, selenium, postman, api testing, jmeter, test cases, sdlc, manual testing",bug hunting,sdet,bug tracking report,Information Technology,final year,9.9,False,not good at system design,edtech company,False,sql selenium postman api testing jmeter test cases sdlc manual testing bug hunting sdet bug tracking report information technology no internship not good at system design
DevOps Engineer,"linux, shell scripting, grafana, networking basics, monitoring, ansible, git, kubernetes, aws",devops,site reliability engineer,dockerized application,Computer Science,3rd year,9.2,True,need to work on time management,"product company, remote",True,linux shell scripting grafana networking basics monitoring ansible git kubernetes aws devops site reliability engineer dockerized application computer science internship need to work on time management
Business Analyst,"python basics, requirement gathering, uml, excel, sql, power bi, data analysis, jira, documentation",project management,business analyst,stakeholder analysis,Management,2nd year,9.1,True,limited knowledge of cloud platforms,startup environment,True,python basics requirement gathering uml excel sql power bi data analysis jira documentation project management business analyst stakeholder analysis management internship limited knowledge of cloud platforms
QA Engineer,"sql, selenium, python, ci/cd, automation testing, api testing, git, sdlc",bug hunting,qa engineer,api testing suite,Software Engineering,1st year,9.1,True,lack of real-world project experience,remote job,False,sql selenium python ci/cd automation testing api testing git sdlc bug hunting qa engineer api testing suite software engineering internship lack of real-world project experience
Full Stack Developer,"react, redis, css, nextjs, typescript, git, aws, html",end to end development,full stack developer,real estate website,Computer Science,3rd year,7.1,False,weak in networking concepts,service company,True,react redis css nextjs typescript git aws html end to end development full stack developer real estate website computer science no internship weak in networking concepts
